Organism Name	Organism Taxonomic ID	Assembly Accession	Assembly Name	Assembly Release Date	Assembly BioSample Accession	Assembly BioProject Accession	Assembly BioProject Lineage Parent Accessions	Source Database
Anableps anableps	195821	GCA_014839685.1	fAnaAna1.pri	2020-10-02	SAMN12623628	PRJNA561985	PRJNA562167	SOURCE_DATABASE_GENBANK
Anableps anableps	195821	GCA_014839705.1	fAnaAna1.alt	2020-09-30	SAMN12623628	PRJNA561986	PRJNA562167	SOURCE_DATABASE_GENBANK
Anabrus simplex	316456	GCA_040414685.1	ASM4041468v1	2024-06-28	SAMN41059247	PRJNA1110779	PRJNA1112820	SOURCE_DATABASE_GENBANK
Anabrus simplex	316456	GCA_040414725.1	ASM4041472v1	2024-06-28	SAMN41059247	PRJNA1103741	PRJNA1112820	SOURCE_DATABASE_GENBANK
Anabrus simplex	316456	GCA_040417275.1	iqAnaSimp2	2024-06-28	SAMN41059355	PRJNA1103759	PRJNA1112822	SOURCE_DATABASE_GENBANK
Anabrus simplex	316456	GCA_040419225.1	iqAnaSimp2 - alternate	2024-06-28	SAMN41059355	PRJNA1110780	PRJNA1112822	SOURCE_DATABASE_GENBANK
Ananas comosus	4615	GCA_022834675.1	ACO_r3.0C	2022-02-09	SAMD00397080	PRJDB12290	PRJDB12289	SOURCE_DATABASE_GENBANK
Ananas comosus	4615	GCA_022834695.1	ACO_r3.0H	2022-02-09	SAMD00397080	PRJDB12291	PRJDB12289	SOURCE_DATABASE_GENBANK
Anania crocealis	1100908	GCA_949315895.1	ilAnaCroc1.1	2023-03-10	SAMEA111458574	PRJEB60110	PRJEB59304	SOURCE_DATABASE_GENBANK
Anania crocealis	1100908	GCA_949316005.1	ilAnaCroc1.1 alternate haplotype	2023-04-08	SAMEA111458574	PRJEB60111	PRJEB59304	SOURCE_DATABASE_GENBANK
Anania fuscalis	1100909	GCA_950371115.1	ilAnaFusc1.1	2023-05-02	SAMEA112198524	PRJEB61760	PRJEB61349	SOURCE_DATABASE_GENBANK
Anania fuscalis	1100909	GCA_950370675.1	ilAnaFusc1.1 alternate haplotype	2023-05-02	SAMEA112198524	PRJEB61761	PRJEB61349	SOURCE_DATABASE_GENBANK
Anarhynchus mongolus	171267	GCA_055772715.1	ASM5577271v1	2026-03-10	SAMN52663754	PRJNA1307197	PRJNA489244	SOURCE_DATABASE_GENBANK
Anarhynchus nivosus	985688	GCA_043789995.1	bChaNiv1.0.p	2024-10-24	SAMN42435911	PRJNA1136472	PRJNA777154	SOURCE_DATABASE_GENBANK
Anarhynchus nivosus	985688	GCA_043789925.1	bChaNiv1.0.a	2024-10-24	SAMN42435911	PRJNA1136473	PRJNA777154	SOURCE_DATABASE_GENBANK
Anarrhichthys ocellatus	433405	GCA_004355925.1	GSC_Weel_1.0	2019-03-08	SAMN10245424	PRJNA496475	PRJNA706690	SOURCE_DATABASE_GENBANK
Anarsia innoxiella	2566270	GCA_947563765.1	ilAnaInnx2.1	2022-12-13	SAMEA10978939	PRJEB58175	PRJEB56247	SOURCE_DATABASE_GENBANK
Anarsia innoxiella	2566270	GCA_947563745.1	ilAnaInnx2.1 alternate haplotype	2022-12-12	SAMEA10978939	PRJEB58174	PRJEB56247	SOURCE_DATABASE_GENBANK
Anas bahamensis	75834	GCA_055773735.1	ASM5577373v1	2026-03-10	SAMN52663704	PRJNA1307197	PRJNA489244	SOURCE_DATABASE_GENBANK
Anas platyrhynchos	8839	GCA_015476345.1	ZJU1.0	2020-11-23	SAMN15588841	PRJNA636121	PRJNA641113	SOURCE_DATABASE_GENBANK
Anaspis maculata	295995	GCA_949128115.1	icAnaMacu3.1	2023-04-08	SAMEA10167002	PRJEB59498	PRJEB58226	SOURCE_DATABASE_GENBANK
Anaspis maculata	295995	GCA_949128105.1	icAnaMacu3.1 alternate haplotype	2023-04-09	SAMEA10167002	PRJEB59497	PRJEB58226	SOURCE_DATABASE_GENBANK
Anastrepha ludens	28586	GCA_028408465.1	idAnaLude1.1	2023-02-06	SAMN25644084	PRJNA803324	PRJNA812602	SOURCE_DATABASE_GENBANK
Anastrepha ludens	28586	GCA_028414665.1	idAnaLude1.1 alternate haplotype	2023-02-02	SAMN25644084	PRJNA807718	PRJNA812602	SOURCE_DATABASE_GENBANK
Anastrepha obliqua	95512	GCA_027943255.1	idAnaObli1_1.0	2023-01-24	SAMN24809119	PRJNA796007	PRJNA555319	SOURCE_DATABASE_GENBANK
Anastrepha obliqua	95512	GCA_027943285.1	idAnaObli1_1.0	2023-01-23	SAMN24809119	PRJNA797107	PRJNA555319	SOURCE_DATABASE_GENBANK
Anaxyrus americanus	8389	GCA_054908275.1	aAnaAme1_p1.1	2026-02-04	SAMN46504289	PRJNA1305532	PRJNA813333,PRJNA1202543	SOURCE_DATABASE_GENBANK
Anaxyrus americanus	8389	GCA_054908255.1	aAnaAme1_a1.1	2026-02-04	SAMN46504289	PRJNA1305534	PRJNA813333,PRJNA1202543	SOURCE_DATABASE_GENBANK
